Year,Exchange,Acres
1984,Alaska,85068
1984,California,227566
1984,Great Basin,389857
1984,Great Plains,166926
1984,North Atlantic,599
1984,Northern Rockies,49397
1984,Northwest,134072
1984,Oak Woodlands,2672
1984,Southern,85919
1984,Southern Rockies,4026
1984,Southwest,10688
1985,Alaska,333575
1985,Appalachians,2565
1985,California,531726
1985,Great Basin,1473815
1985,Great Plains,40850
1985,Lake States,5828
1985,North Atlantic,26951
1985,Northern Rockies,136332
1985,Northwest,98913
1985,Southern,600550
1985,Southern Rockies,85506
1985,Southwest,29252
1985,Tallgrass Prairie,6637
1986,Alaska,308893
1986,Appalachians,8119
1986,California,102702
1986,Great Basin,733268
1986,Great Plains,47302
1986,Lake States,10521
1986,North Atlantic,4460
1986,Northern Rockies,200088
1986,Northwest,178660
1986,Oak Woodlands,5743
1986,Southern,230278
1986,Southern Rockies,26258
1986,Southwest,55121
1986,Tallgrass Prairie,863
1987,Alaska,98005
1987,Appalachians,871291
1987,California,768214
1987,Great Basin,334181
1987,Great Plains,37368
1987,Lake States,74929
1987,Northern Rockies,92190
1987,Northwest,262155
1987,Oak Woodlands,4041
1987,Southern,60163
1987,Southern Rockies,42184
1987,Southwest,116624
1987,Tallgrass Prairie,154254
1988,Alaska,810558
1988,Appalachians,19574
1988,California,259067
1988,Great Basin,173664
1988,Great Plains,567126
1988,Lake States,32594
1988,North Atlantic,3418
1988,Northern Rockies,2307307
1988,Northwest,177778
1988,Oak Woodlands,17710
1988,Southern,66629
1988,Southern Rockies,117510
1988,Southwest,177331
1988,Tallgrass Prairie,97588
1989,Alaska,48810
1989,California,144585
1989,Great Basin,90776
1989,Great Plains,128053
1989,North Atlantic,5870
1989,Northern Rockies,174329
1989,Northwest,83028
1989,Oak Woodlands,14869
1989,Southern,551404
1989,Southern Rockies,48719
1989,Southwest,377951
1989,Tallgrass Prairie,67505
1990,Alaska,1414399
1990,California,283749
1990,Great Basin,176104
1990,Great Plains,55735
1990,Lake States,55436
1990,North Atlantic,3596
1990,Northern Rockies,39318
1990,Northwest,167304
1990,Oak Woodlands,1527
1990,Southern,118099
1990,Southern Rockies,26471
1990,Southwest,148233
1990,Tallgrass Prairie,80429
1991,Alaska,760620
1991,Appalachians,511363
1991,California,24956
1991,Great Basin,75532
1991,Great Plains,271399
1991,Lake States,50743
1991,North Atlantic,6445
1991,Northern Rockies,91375
1991,Northwest,29732
1991,Oak Woodlands,112021
1991,Southern,126166
1991,Southern Rockies,10013
1991,Southwest,41333
1991,Tallgrass Prairie,36962
1992,Alaska,27419
1992,California,198199
1992,Great Basin,374618
1992,Great Plains,21608
1992,Lake States,6665
1992,North Atlantic,22421
1992,Northern Rockies,407804
1992,Northwest,124043
1992,Oak Woodlands,26998
1992,Pacific,1567
1992,Southern,199438
1992,Southern Rockies,10783
1992,Southwest,70069
1992,Tallgrass Prairie,2194
1993,Alaska,398882
1993,Appalachians,1659
1993,California,355901
1993,Great Basin,30716
1993,Great Plains,93658
1993,Lake States,889
1993,North Atlantic,2381
1993,Northwest,13508
1993,Oak Woodlands,3748
1993,Southern,88397
1993,Southern Rockies,31966
1993,Southwest,404698
1993,Tallgrass Prairie,4560
1994,Alaska,238233
1994,Appalachians,71615
1994,California,321978
1994,Great Basin,538078
1994,Great Plains,245850
1994,Lake States,1914
1994,Northern Rockies,719981
1994,Northwest,406836
1994,Oak Woodlands,46201
1994,Southern,225042
1994,Southern Rockies,54799
1994,Southwest,584153
1994,Tallgrass Prairie,11036
1995,Alaska,31433
1995,Appalachians,43205
1995,California,167085
1995,Great Basin,535486
1995,Great Plains,86849
1995,Lake States,22028
1995,North Atlantic,24214
1995,Northern Rockies,9635
1995,Northwest,7063
1995,Oak Woodlands,33765
1995,Southern,66850
1995,Southern Rockies,15253
1995,Southwest,360744
1995,Tallgrass Prairie,5274
1996,California,591706
1996,Great Basin,2063231
1996,Great Plains,839741
1996,Lake States,10020
1996,North Atlantic,5526
1996,Northern Rockies,377059
1996,Northwest,480639
1996,Oak Woodlands,118086
1996,Southern,202985
1996,Southern Rockies,50689
1996,Southwest,350217
1996,Tallgrass Prairie,6453
1997,Alaska,1096
1997,Appalachians,508
1997,California,241742
1997,Great Basin,83961
1997,Great Plains,53376
1997,Lake States,2880
1997,North Atlantic,8285
1997,Northern Rockies,10032
1997,Northwest,18712
1997,Oak Woodlands,1739
1997,Southern,112420
1997,Southern Rockies,12519
1997,Southwest,101709
1998,Alaska,174206
1998,Appalachians,6241
1998,California,143106
1998,Great Basin,282489
1998,Great Plains,202801
1998,Lake States,9156
1998,North Atlantic,4431
1998,Northern Rockies,108574
1998,Northwest,111962
1998,Oak Woodlands,4520
1998,Southern,527463
1998,Southern Rockies,4044
1998,Southwest,275448
1998,Tallgrass Prairie,27822
1999,Alaska,880280
1999,Appalachians,230279
1999,California,728159
1999,Great Basin,2403189
1999,Great Plains,253899
1999,Lake States,5226
1999,North Atlantic,16884
1999,Northern Rockies,88911
1999,Northwest,42471
1999,Oak Woodlands,13149
1999,Southern,469900
1999,Southern Rockies,39563
1999,Southwest,249853
1999,Tallgrass Prairie,10291
2000,Alaska,771073
2000,Appalachians,144014
2000,California,237506
