Rowid_,VALUE,COUNT,FSENPJT,BPS_EVT
,1,1110274,8,1
,2,13502238,8,2
,3,31402,8,169
,4,228805,8,170
,5,2041,8,165
,6,61096,8,11
,7,43395,8,83
,8,21096,8,122
,9,708637,8,8
,10,73923,8,28
,11,847857,8,65
,12,309183,8,22
,13,83610,8,12
,14,50504,8,13
,15,2715,8,156
,16,9526,8,75
,17,67570,8,27
,18,2800,8,171
,19,1241,8,85
,20,3349,8,164
,21,2637,8,50
,22,29343,8,26
,23,161894,8,16
,24,12338,8,86
,25,26747,8,172
,26,16478,8,7
,27,220449,8,14
,28,2888,8,76
,29,3589392,8,9
,30,165534,8,4
,31,784157,8,10
,32,197379,8,87
,33,371110,8,20
,34,152307,8,21
,35,12802,8,64
,36,36907,8,45
,37,130380,8,109
,38,11828,8,60
,39,26114,8,69
,40,121199,8,41
,41,110960,8,46
,42,70538,8,40
,43,154079,8,110
,44,22048,8,63
,45,1867319,8,104
,46,205791,8,94
,47,101974,8,95
,48,306682,8,155
,49,26624,8,141
,50,295438,8,96
,51,612017,8,42
,52,62735,8,108
,53,50958,8,114
,54,1316,8,123
,55,125156,8,144
,56,23708,8,56
,57,5253,8,44
,58,21148,8,66
,59,697506,8,73
,60,3354,8,49
,61,594633,8,68
,62,269503,8,67
,63,44563,8,153
,64,88359,8,133
,65,12295,8,82
,66,376773,8,24
,67,13820,8,125
,68,338897,8,15
,69,86890,8,35
,70,6037,8,131
,71,70210,8,150
,72,52627,8,154
,73,2302235,8,5
,74,31236,8,130
,75,148574,8,31
,76,312272,8,78
,77,6363,8,173
,78,204667,8,174
,79,114,8,175
,80,3816,8,138
,81,7607,8,107
,82,13184,8,47
,83,149230,8,167
,84,27728,8,121
,85,532983,8,33
,86,26540,8,34
,87,222962,8,176
,88,55300,8,36
,89,65210,8,51
,90,844,8,136
,91,54550,8,177
,92,129588,8,29
,93,3689509,8,25
,94,6949,8,134
,95,136042,8,105
,96,15477,8,89
,97,12156,8,80
,98,997,8,132
,99,3907,8,106
,100,31369,8,129
,101,39373,8,148
,102,255995,8,178
,103,50030,8,18
,104,50953,8,77
,105,993130,8,166
,106,17070,8,179
,107,5719,8,180
,108,64049,8,181
,109,15582,8,84
,110,914,8,182
,111,128152,8,168
,112,2544,8,183
,113,706242,8,140
,114,29557,8,17
,115,152802,8,3
,116,7714,8,135
,117,4061,8,112
,118,17626,8,184
,119,1392,8,103
,120,5201,8,185
,121,63469,8,99
,122,20959,8,32
,123,9403,8,19
,124,8642,8,163
,125,289,8,118
,126,95058,8,186
,127,17435,8,97
,128,63533,8,115
,129,13717,8,187
,130,281,8,152
,131,22746,8,6
,132,107287,8,188
,133,118,8,189
,134,37185,8,81
,135,2575,8,52
,136,527946,8,190
,137,19619,8,191
,138,2337,8,74
,139,2146,8,192
,140,20395,8,193
,141,194490,8,194
,142,429973,8,195
,143,107315,8,196
,144,6512,8,197
,145,1064633,8,198
,146,83383,8,199
,147,446,8,200
,148,4324,8,201
,149,5417,8,202
,150,12009,8,203
,151,33450,8,116
,152,165947,8,204
,153,119407,8,119
,154,5224,8,205
,155,32673,8,206
,156,26992,8,207
,157,7217,8,208
,158,202994,8,209
,159,262390,8,210
,160,46052,8,211
,161,5294,8,212
,162,7529,8,213
,163,4541,8,214
,164,603,8,215
,165,5989,8,216
,166,92316,8,217
,167,27443,8,218
,168,36130,8,219
,169,5345,8,220
,170,1378,8,221
,171,7434,8,223
,172,55679,8,98
,173,123,8,90
,174,5114,8,137
,175,7909,8,120
,176,467,8,100
,177,240,8,224
,178,19383,8,226
,179,6630,8,228
,180,720,8,229
,181,13850,8,230
,182,64779,8,111
,183,3166,8,117
,184,944,8,231
,185,2537,8,142
,186,1148,8,143
,187,1001,8,232
,188,25771,8,158
,189,29,8,225
,190,12546,8,233
,191,40515,8,234
,192,3719,8,235
,193,776,8,236
,194,44794,8,237
,195,26745,8,238
,196,4495,8,43
,197,18,8,239
,198,1803,8,240
,199,272,8,241
,200,432,8,242
,201,60,8,243
,202,14694,8,244
,203,1190,8,245
,204,16923,8,246
,205,11811,8,102
,206,884,8,247
,207,3,8,248
,208,2837,8,249
,209,270129,8,54
,210,1673,8,250
,211,111,8,251
,212,755,8,252
,213,36061,8,253
,214,32922,8,254
,215,5107,8,255
,216,510,8,256
,217,6739,8,257
,218,3393,8,258
,219,5265,8,259
,220,279,8,260
,221,11638,8,261
,222,395,8,262
,223,604,8,263
,224,3629,8,264
,225,3399,8,265
,226,7254,8,266
,227,1613,8,267
,228,342,8,268
,229,2992704,8,269
,230,2,8,270
,231,4528,8,271
,232,621,8,88
,233,1919,8,91
,234,16987,8,275
,235,884150,8,39
,236,96865,8,276
,237,323739,8,277
,238,3521,8,278
,239,344001,8,279
,240,17474,8,280
,241,3782,8,281
,242,71583,8,282
,243,9846,8,283
,244,201918,8,284
,245,5781,8,285
,246,416807,8,286
,247,1058,8,287
,248,123820,8,79
,249,98943,8,288
,250,9618,8,289
,251,713,8,290
,252,1775950,8,291
,253,14,8,292
,254,412,8,293
,255,3110139,8,128
,256,3878,8,294
,257,2375,8,295
,258,760,8,296
,259,4794,8,297
,260,121,8,298
,261,143224,8,299
,262,139959,8,300
,263,5085,8,301
,264,34,8,302
,265,17,8,303
,266,728668,8,304
,267,3941,8,305
,268,923,8,306
,269,303498,8,307
,270,3837,8,308
,271,844872,8,309
,272,414,8,310
,273,15044,8,311
,274,111,8,312
,275,44064,8,161
,276,155188,8,313
,277,331,8,314
,278,588,8,315
,279,192,8,274
,280,4851,8,124
,281,1016,8,316
,282,25,8,317
,283,4180,8,318
,284,9872,8,319
,285,8,8,320
,286,798071,8,321
,287,17995,8,322
,288,19,8,323
,289,199,8,324
,290,713,8,157
,291,2,8,325
,292,11396,8,326
,293,3,8,327
,294,1,8,328
,295,188728,8,146
,296,2845,8,329
,297,362089,8,330
,298,200291,8,331
,299,2592,8,332
,300,115272,8,127
,301,3382,8,333
,302,52439,8,59
,303,59,8,334
,304,3234,8,335
,305,664,8,336
,306,186,8,337
,307,198294,8,62
,308,1154327,8,338
,309,6014507,8,339
,310,152,8,340
,311,36082,8,341
,312,275,8,342
,313,703729,8,343
,314,1510,8,139
,315,2644,8,344
,316,23167,8,345
,317,45298,8,346
,318,114435,8,347
,319,1666502,8,348
,320,90520,8,349
,321,115568,8,350
,322,316597,8,351
,323,1917573,8,352
,324,1253993,8,353
,325,45023,8,354
,326,54129,8,355
,327,23485,8,356
,328,8023,8,357
,329,654813,8,358
,330,3355,8,359
,331,98251,8,360
,332,108101,8,361
,333,32224,8,362
,334,33279,8,53
,335,2512,8,363
,336,41184,8,364
,337,14824,8,365
,338,142999,8,30
,339,1032,8,366
,340,3711,8,367
,341,8817,8,93
,342,422,8,368
,343,115,8,369
,344,14,8,370
,345,93413,8,371
,346,233340,8,372
,347,1329,8,373
,348,301053,8,374
,349,44,8,375
,350,128,8,92
,351,13872,8,376
,352,123076,8,377
,353,79848,8,378
,354,994771,8,379
,355,4,8,380
,356,11930,8,381
,357,59512,8,382
,358,43068,8,383
,359,3,8,384
,360,18,8,385
,361,27512,8,386
,362,29864,8,387
,363,56,8,388
,364,178718,8,389
,365,2712,8,390
,366,16020,8,391
,367,79306,8,392
,368,110620,8,37
,369,23578,8,393
,370,66425,8,394
,371,4682,8,395
,372,1,8,396
,373,25875,8,397
,374,37818,8,398
,375,11594,8,399
,376,1270,8,400
,377,11185,8,401
,378,44006,8,402
,379,142450,8,403
,380,1,8,404
,381,23,8,405
,382,9,8,406
,383,22192,8,407
,384,18,8,408
,385,135073,8,409
,386,26650,8,410
,387,53738,8,411
,388,86,8,412
,389,13702,8,413
,390,35831,8,414
,391,833757,8,415
,392,52563,8,416
,393,10289,8,417
,394,63227,8,418
,395,423,8,419
,396,165364,8,57
,397,77081,8,420
,398,21179,8,421
,399,18293,8,422
,400,63610,8,423
,401,90168,8,424
,402,31654,8,425
,403,2261,8,426
,404,18263,8,427
,405,6046,8,428
,406,1267,8,429
,407,115668,8,430
,408,62009,8,431
,409,7145,8,432
,410,12058,8,433
,411,5245,8,434
,412,100304,8,435
,413,553,8,436
,414,23025,8,437
,415,2852,8,222
,416,33267,8,438
,417,1637,8,439
,418,6479,8,440
,419,588,8,441
,420,2913,8,442
,421,25457,8,443
,422,87,8,444
,423,2783,8,445
,424,21964,8,446
,425,7565,8,447
