Exchange,Past,Present,Acres
California,Conifer ,Agricultural ,155401.776
California,Conifer ,Conifer ,14964457.23
California,Conifer ,Conifer-Hardwood ,114141.522
California,Conifer ,Developed ,668698.854
California,Conifer ,Exotics ,426552.798
California,Conifer ,Grassland ,668895.768
California,Conifer ,Hardwood ,716623.77
California,Conifer ,Riparian ,179130.024
California,Conifer ,Shrubland ,2626796.352
California,Grassland ,Agricultural ,349335.87
California,Grassland ,Conifer ,31898.292
California,Grassland ,Conifer-Hardwood ,854.256
California,Grassland ,Developed ,618914.244
California,Grassland ,Exotics ,365012.622
California,Grassland ,Grassland ,28152.042
California,Grassland ,Hardwood ,20691.066
California,Grassland ,Riparian ,88411.5
California,Grassland ,Shrubland ,82052.088
California,Hardwood ,Agricultural ,1760270.634
California,Hardwood ,Conifer ,2584354.836
California,Hardwood ,Conifer-Hardwood ,272078.982
California,Hardwood ,Developed ,1825043.13
California,Hardwood ,Exotics ,3422427.924
California,Hardwood ,Grassland ,386222.058
California,Hardwood ,Hardwood ,1571112.426
California,Hardwood ,Riparian ,312073.17
California,Hardwood ,Shrubland ,2377285.002
California,Hardwood-Conifer ,Conifer ,8146.29
California,Hardwood-Conifer ,Developed ,53.058
California,Hardwood-Conifer ,Exotics ,113.664
California,Hardwood-Conifer ,Grassland ,494.616
California,Hardwood-Conifer ,Hardwood ,163.392
California,Hardwood-Conifer ,Riparian ,657.342
California,Hardwood-Conifer ,Shrubland ,2106.78
California,Riparian ,Agricultural ,3160274.562
California,Riparian ,Conifer ,850019.352
California,Riparian ,Conifer-Hardwood ,19401.468
California,Riparian ,Developed ,944409.978
California,Riparian ,Exotics ,230369.4
California,Riparian ,Grassland ,72178.416
California,Riparian ,Hardwood ,185049.876
California,Riparian ,Riparian ,1056596.568
California,Riparian ,Shrubland ,1646686.11
California,Shrubland ,Agricultural ,3658303.368
California,Shrubland ,Conifer ,1131221.646
California,Shrubland ,Conifer-Hardwood ,30152.484
California,Shrubland ,Developed ,4431795.102
California,Shrubland ,Exotics ,4610270.448
California,Shrubland ,Grassland ,587675.514
California,Shrubland ,Hardwood ,412482.216
California,Shrubland ,Riparian ,414826.536
California,Shrubland ,Shrubland ,22772192.35
