exchange,source,target,value
Appalachians,Conifer (past),Agricultural (present),29725.578
Appalachians,Conifer (past),Conifer (present),365499.468
Appalachians,Conifer (past),Conifer-Hardwood (present),133958.352
Appalachians,Conifer (past),Developed (present),134030.502
Appalachians,Conifer (past),Exotics (present),21004.53
Appalachians,Conifer (past),Grassland (present),12401.364
Appalachians,Conifer (past),Hardwood (present),1146710.142
Appalachians,Conifer (past),Riparian (present),3214.116
Appalachians,Conifer (past),Shrubland (present),6561.876
Appalachians,Grassland (past),Agricultural (present),69156.33
Appalachians,Grassland (past),Conifer (present),2057.496
Appalachians,Grassland (past),Conifer-Hardwood (present),4535.238
Appalachians,Grassland (past),Developed (present),20524.122
Appalachians,Grassland (past),Exotics (present),5020.086
Appalachians,Grassland (past),Grassland (present),284.382
Appalachians,Grassland (past),Hardwood (present),53694.918
Appalachians,Grassland (past),Riparian (present),468.42
Appalachians,Grassland (past),Shrubland (present),60.384
Appalachians,Hardwood (past),Agricultural (present),10659145.96
Appalachians,Hardwood (past),Conifer (present),3077406.402
Appalachians,Hardwood (past),Conifer-Hardwood (present),5057071.866
Appalachians,Hardwood (past),Developed (present),10333441.99
Appalachians,Hardwood (past),Exotics (present),1624781.592
Appalachians,Hardwood (past),Grassland (present),310557.132
Appalachians,Hardwood (past),Hardwood (present),40393593.75
Appalachians,Hardwood (past),Riparian (present),290120.922
Appalachians,Hardwood (past),Shrubland (present),83968.836
Appalachians,Hardwood-Conifer (past),Agricultural (present),614819.454
Appalachians,Hardwood-Conifer (past),Conifer (present),371075.664
Appalachians,Hardwood-Conifer (past),Conifer-Hardwood (present),655162.626
Appalachians,Hardwood-Conifer (past),Developed (present),927503.124
Appalachians,Hardwood-Conifer (past),Exotics (present),54033.024
Appalachians,Hardwood-Conifer (past),Grassland (present),32651.094
Appalachians,Hardwood-Conifer (past),Hardwood (present),2747015.568
Appalachians,Hardwood-Conifer (past),Riparian (present),15335.76
Appalachians,Hardwood-Conifer (past),Shrubland (present),6623.37
Appalachians,Riparian (past),Agricultural (present),1871688.438
Appalachians,Riparian (past),Conifer (present),411177.522
Appalachians,Riparian (past),Conifer-Hardwood (present),680693.736
Appalachians,Riparian (past),Developed (present),2108690.976
Appalachians,Riparian (past),Exotics (present),201536.04
Appalachians,Riparian (past),Grassland (present),15438.99
Appalachians,Riparian (past),Hardwood (present),3435660.9
Appalachians,Riparian (past),Riparian (present),959494.878
Appalachians,Riparian (past),Shrubland (present),4629.81
Appalachians,Savanna (past),Agricultural (present),29129.73
Appalachians,Savanna (past),Conifer (present),5497.608
Appalachians,Savanna (past),Conifer-Hardwood (present),11590.62
Appalachians,Savanna (past),Developed (present),11907.636
Appalachians,Savanna (past),Exotics (present),2465.754
Appalachians,Savanna (past),Grassland (present),156.51
Appalachians,Savanna (past),Hardwood (present),43071.552
Appalachians,Savanna (past),Riparian (present),392.496
Appalachians,Savanna (past),Shrubland (present),45.51
California,Conifer (past),Agricultural (present),155401.776
California,Conifer (past),Conifer (present),14964457.23
California,Conifer (past),Conifer-Hardwood (present),114141.522
California,Conifer (past),Developed (present),668698.854
California,Conifer (past),Exotics (present),426552.798
California,Conifer (past),Grassland (present),668895.768
California,Conifer (past),Hardwood (present),716623.77
California,Conifer (past),Riparian (present),179130.024
California,Conifer (past),Shrubland (present),2626796.352
California,Grassland (past),Agricultural (present),349335.87
California,Grassland (past),Conifer (present),31898.292
California,Grassland (past),Conifer-Hardwood (present),854.256
California,Grassland (past),Developed (present),618914.244
California,Grassland (past),Exotics (present),365012.622
California,Grassland (past),Grassland (present),28152.042
California,Grassland (past),Hardwood (present),20691.066
California,Grassland (past),Riparian (present),88411.5
California,Grassland (past),Shrubland (present),82052.088
California,Hardwood (past),Agricultural (present),1760270.634
California,Hardwood (past),Conifer (present),2584354.836
California,Hardwood (past),Conifer-Hardwood (present),272078.982
California,Hardwood (past),Developed (present),1825043.13
California,Hardwood (past),Exotics (present),3422427.924
California,Hardwood (past),Grassland (present),386222.058
California,Hardwood (past),Hardwood (present),1571112.426
California,Hardwood (past),Riparian (present),312073.17
California,Hardwood (past),Shrubland (present),2377285.002
California,Hardwood-Conifer (past),Conifer (present),8146.29
California,Hardwood-Conifer (past),Developed (present),53.058
California,Hardwood-Conifer (past),Exotics (present),113.664
California,Hardwood-Conifer (past),Grassland (present),494.616
California,Hardwood-Conifer (past),Hardwood (present),163.392
California,Hardwood-Conifer (past),Riparian (present),657.342
California,Hardwood-Conifer (past),Shrubland (present),2106.78
California,Riparian (past),Agricultural (present),3160274.562
California,Riparian (past),Conifer (present),850019.352
California,Riparian (past),Conifer-Hardwood (present),19401.468
California,Riparian (past),Developed (present),944409.978
California,Riparian (past),Exotics (present),230369.4
California,Riparian (past),Grassland (present),72178.416
California,Riparian (past),Hardwood (present),185049.876
California,Riparian (past),Riparian (present),1056596.568
California,Riparian (past),Shrubland (present),1646686.11
California,Shrubland (past),Agricultural (present),3658303.368
California,Shrubland (past),Conifer (present),1131221.646
California,Shrubland (past),Conifer-Hardwood (present),30152.484
California,Shrubland (past),Developed (present),4431795.102
California,Shrubland (past),Exotics (present),4610270.448
California,Shrubland (past),Grassland (present),587675.514
California,Shrubland (past),Hardwood (present),412482.216
California,Shrubland (past),Riparian (present),414826.536
California,Shrubland (past),Shrubland (present),22772192.35
Great Basin,Conifer (past),Agricultural (present),51411.648
Great Basin,Conifer (past),Conifer (present),8420472.876
Great Basin,Conifer (past),Conifer-Hardwood (present),122942.934
Great Basin,Conifer (past),Developed (present),120379.722
Great Basin,Conifer (past),Exotics (present),283059.324
Great Basin,Conifer (past),Grassland (present),267229.614
Great Basin,Conifer (past),Hardwood (present),148510.008
Great Basin,Conifer (past),Riparian (present),130058.922
Great Basin,Conifer (past),Shrubland (present),2757999.684
Great Basin,Grassland (past),Agricultural (present),53052.672
Great Basin,Grassland (past),Conifer (present),39368.592
Great Basin,Grassland (past),Conifer-Hardwood (present),861.138
Great Basin,Grassland (past),Developed (present),28271.256
Great Basin,Grassland (past),Exotics (present),61755.294
Great Basin,Grassland (past),Grassland (present),49268.904
Great Basin,Grassland (past),Hardwood (present),11252.514
Great Basin,Grassland (past),Riparian (present),11126.418
Great Basin,Grassland (past),Shrubland (present),811808.49
Great Basin,Hardwood (past),Agricultural (present),27565.518
Great Basin,Hardwood (past),Conifer (present),570758.67
Great Basin,Hardwood (past),Conifer-Hardwood (present),181799.13
Great Basin,Hardwood (past),Developed (present),27679.626
Great Basin,Hardwood (past),Exotics (present),56710.788
Great Basin,Hardwood (past),Grassland (present),157744.986
Great Basin,Hardwood (past),Hardwood (present),834627.648
Great Basin,Hardwood (past),Riparian (present),16031.952
Great Basin,Hardwood (past),Shrubland (present),916284.354
Great Basin,Hardwood-Conifer (past),Agricultural (present),344.544
Great Basin,Hardwood-Conifer (past),Conifer (present),550491.846
Great Basin,Hardwood-Conifer (past),Conifer-Hardwood (present),259175.454
Great Basin,Hardwood-Conifer (past),Developed (present),8844.48
Great Basin,Hardwood-Conifer (past),Exotics (present),9143.736
Great Basin,Hardwood-Conifer (past),Grassland (present),70600.218
Great Basin,Hardwood-Conifer (past),Hardwood (present),415368.66
Great Basin,Hardwood-Conifer (past),Riparian (present),5672.322
Great Basin,Hardwood-Conifer (past),Shrubland (present),176557.932
