Exchange,Past,Present,Acres
Great Basin,Conifer ,Agricultural ,51411.648
Great Basin,Conifer ,Conifer ,8420472.876
Great Basin,Conifer ,Conifer-Hardwood ,122942.934
Great Basin,Conifer ,Developed ,120379.722
Great Basin,Conifer ,Exotics ,283059.324
Great Basin,Conifer ,Grassland ,267229.614
Great Basin,Conifer ,Hardwood ,148510.008
Great Basin,Conifer ,Riparian ,130058.922
Great Basin,Conifer ,Shrubland ,2757999.684
Great Basin,Grassland ,Agricultural ,53052.672
Great Basin,Grassland ,Conifer ,39368.592
Great Basin,Grassland ,Conifer-Hardwood ,861.138
Great Basin,Grassland ,Developed ,28271.256
Great Basin,Grassland ,Exotics ,61755.294
Great Basin,Grassland ,Grassland ,49268.904
Great Basin,Grassland ,Hardwood ,11252.514
Great Basin,Grassland ,Riparian ,11126.418
Great Basin,Grassland ,Shrubland ,811808.49
Great Basin,Hardwood ,Agricultural ,27565.518
Great Basin,Hardwood ,Conifer ,570758.67
Great Basin,Hardwood ,Conifer-Hardwood ,181799.13
Great Basin,Hardwood ,Developed ,27679.626
Great Basin,Hardwood ,Exotics ,56710.788
Great Basin,Hardwood ,Grassland ,157744.986
Great Basin,Hardwood ,Hardwood ,834627.648
Great Basin,Hardwood ,Riparian ,16031.952
Great Basin,Hardwood ,Shrubland ,916284.354
Great Basin,Hardwood-Conifer ,Agricultural ,344.544
Great Basin,Hardwood-Conifer ,Conifer ,550491.846
Great Basin,Hardwood-Conifer ,Conifer-Hardwood ,259175.454
Great Basin,Hardwood-Conifer ,Developed ,8844.48
Great Basin,Hardwood-Conifer ,Exotics ,9143.736
Great Basin,Hardwood-Conifer ,Grassland ,70600.218
Great Basin,Hardwood-Conifer ,Hardwood ,415368.66
Great Basin,Hardwood-Conifer ,Riparian ,5672.322
Great Basin,Hardwood-Conifer ,Shrubland ,176557.932
Great Basin,Riparian ,Agricultural ,1644258.096
Great Basin,Riparian ,Conifer ,595574.274
Great Basin,Riparian ,Conifer-Hardwood ,22349.406
Great Basin,Riparian ,Developed ,326020.32
Great Basin,Riparian ,Exotics ,431670.564
Great Basin,Riparian ,Grassland ,92629.722
Great Basin,Riparian ,Hardwood ,68859.96
Great Basin,Riparian ,Riparian ,846517.524
Great Basin,Riparian ,Shrubland ,837858.636
Great Basin,Shrubland ,Agricultural ,4837089.624
Great Basin,Shrubland ,Conifer ,8703906.936
Great Basin,Shrubland ,Conifer-Hardwood ,55313.298
Great Basin,Shrubland ,Developed ,1656759.582
Great Basin,Shrubland ,Exotics ,13281906.35
Great Basin,Shrubland ,Grassland ,2953779.708
Great Basin,Shrubland ,Hardwood ,244033.5
Great Basin,Shrubland ,Riparian ,1322944.842
Great Basin,Shrubland ,Shrubland ,69914681.33
Great Basin,Conifer ,Agricultural ,51411.426
Great Basin,Conifer ,Conifer ,8420269.524
Great Basin,Conifer ,Conifer-Hardwood ,122941.158
Great Basin,Conifer ,Developed ,120378.612
Great Basin,Conifer ,Exotics ,283052.22
Great Basin,Conifer ,Grassland ,267223.62
Great Basin,Conifer ,Hardwood ,148510.23
Great Basin,Conifer ,Riparian ,130057.812
Great Basin,Conifer ,Shrubland ,2757922.65
Great Basin,Grassland ,Agricultural ,53062.662
Great Basin,Grassland ,Conifer ,39368.814
Great Basin,Grassland ,Conifer-Hardwood ,861.138
Great Basin,Grassland ,Developed ,28273.476
Great Basin,Grassland ,Exotics ,61755.516
Great Basin,Grassland ,Grassland ,49266.906
Great Basin,Grassland ,Hardwood ,11252.736
Great Basin,Grassland ,Riparian ,11127.972
Great Basin,Grassland ,Shrubland ,811810.266
Great Basin,Hardwood ,Agricultural ,27565.74
Great Basin,Hardwood ,Conifer ,570757.782
Great Basin,Hardwood ,Conifer-Hardwood ,181796.244
Great Basin,Hardwood ,Developed ,27676.962
Great Basin,Hardwood ,Exotics ,56709.234
Great Basin,Hardwood ,Grassland ,157742.1
Great Basin,Hardwood ,Hardwood ,834631.2
Great Basin,Hardwood ,Riparian ,16032.618
Great Basin,Hardwood ,Shrubland ,916276.14
Great Basin,Hardwood-Conifer ,Agricultural ,344.544
Great Basin,Hardwood-Conifer ,Conifer ,550462.32
Great Basin,Hardwood-Conifer ,Conifer-Hardwood ,259169.016
Great Basin,Hardwood-Conifer ,Developed ,8843.592
Great Basin,Hardwood-Conifer ,Exotics ,9143.958
Great Basin,Hardwood-Conifer ,Grassland ,70600.218
Great Basin,Hardwood-Conifer ,Hardwood ,415360.002
Great Basin,Hardwood-Conifer ,Riparian ,5672.322
Great Basin,Hardwood-Conifer ,Shrubland ,176554.158
Great Basin,Riparian ,Agricultural ,1644367.542
Great Basin,Riparian ,Conifer ,595553.406
Great Basin,Riparian ,Conifer-Hardwood ,22349.406
Great Basin,Riparian ,Developed ,326021.652
Great Basin,Riparian ,Exotics ,431674.56
Great Basin,Riparian ,Grassland ,92633.94
Great Basin,Riparian ,Hardwood ,68860.626
Great Basin,Riparian ,Riparian ,846525.516
Great Basin,Riparian ,Shrubland ,837836.658
Great Basin,Shrubland ,Agricultural ,4837271.442
Great Basin,Shrubland ,Conifer ,8703792.384
Great Basin,Shrubland ,Conifer-Hardwood ,55313.076
Great Basin,Shrubland ,Developed ,1656778.896
Great Basin,Shrubland ,Exotics ,13281979.61
Great Basin,Shrubland ,Grassland ,2953830.546
Great Basin,Shrubland ,Hardwood ,244033.944
Great Basin,Shrubland ,Riparian ,1322973.702
Great Basin,Shrubland ,Shrubland ,69914929.31
