Exchange,Past,Present,Acres
Northwest,Conifer ,Agricultural ,1460769.99
Northwest,Conifer ,Conifer ,38638335.88
Northwest,Conifer ,Conifer-Hardwood ,391362.912
Northwest,Conifer ,Developed ,2766072.714
Northwest,Conifer ,Exotics ,612985.734
Northwest,Conifer ,Grassland ,1832346.264
Northwest,Conifer ,Hardwood ,2256187.998
Northwest,Conifer ,Riparian ,623238.582
Northwest,Conifer ,Shrubland ,2878450.668
Northwest,Grassland ,Agricultural ,5421440.466
Northwest,Grassland ,Conifer ,767738.604
Northwest,Grassland ,Conifer-Hardwood ,31.746
Northwest,Grassland ,Developed ,575540.106
Northwest,Grassland ,Exotics ,1605087.528
Northwest,Grassland ,Grassland ,2687671.416
Northwest,Grassland ,Hardwood ,1817.07
Northwest,Grassland ,Riparian ,116604.168
Northwest,Grassland ,Shrubland ,4509168.762
Northwest,Hardwood ,Agricultural ,1158446.838
Northwest,Hardwood ,Conifer ,630243.792
Northwest,Hardwood ,Conifer-Hardwood ,47365.698
Northwest,Hardwood ,Developed ,456161.826
Northwest,Hardwood ,Exotics ,92108.91
Northwest,Hardwood ,Grassland ,42962.328
Northwest,Hardwood ,Hardwood ,113528.136
Northwest,Hardwood ,Riparian ,62136.912
Northwest,Hardwood ,Shrubland ,112306.026
Northwest,Hardwood-Conifer ,Agricultural ,640.914
Northwest,Hardwood-Conifer ,Conifer ,90749.382
Northwest,Hardwood-Conifer ,Conifer-Hardwood ,2.442
Northwest,Hardwood-Conifer ,Developed ,176.712
Northwest,Hardwood-Conifer ,Exotics ,198.912
Northwest,Hardwood-Conifer ,Grassland ,3325.116
Northwest,Hardwood-Conifer ,Hardwood ,270.396
Northwest,Hardwood-Conifer ,Riparian ,120.324
Northwest,Hardwood-Conifer ,Shrubland ,5448.546
Northwest,Riparian ,Agricultural ,1284142.572
Northwest,Riparian ,Conifer ,1139174.574
Northwest,Riparian ,Conifer-Hardwood ,25548.204
Northwest,Riparian ,Developed ,604592.358
Northwest,Riparian ,Exotics ,107715.51
Northwest,Riparian ,Grassland ,93343.674
Northwest,Riparian ,Hardwood ,97345.446
Northwest,Riparian ,Riparian ,2148465.606
Northwest,Riparian ,Shrubland ,137089.218
Northwest,Shrubland ,Agricultural ,2242509.246
Northwest,Shrubland ,Conifer ,1139107.752
Northwest,Shrubland ,Conifer-Hardwood ,91.908
Northwest,Shrubland ,Developed ,441672.552
Northwest,Shrubland ,Exotics ,795043.272
Northwest,Shrubland ,Grassland ,1174912.356
Northwest,Shrubland ,Hardwood ,4098.342
Northwest,Shrubland ,Riparian ,181916.568
Northwest,Shrubland ,Shrubland ,4424037.756
