Exchange,Past,Present,Acres
Southern Rockies,Conifer ,Agricultural ,157983.858
Southern Rockies,Conifer ,Conifer ,13811060.67
Southern Rockies,Conifer ,Conifer-Hardwood ,94213.692
Southern Rockies,Conifer ,Developed ,152552.406
Southern Rockies,Conifer ,Exotics ,158924.25
Southern Rockies,Conifer ,Grassland ,625291.194
Southern Rockies,Conifer ,Hardwood ,456505.26
Southern Rockies,Conifer ,Riparian ,181290.75
Southern Rockies,Conifer ,Shrubland ,2380810.806
Southern Rockies,Grassland ,Agricultural ,415494.312
Southern Rockies,Grassland ,Conifer ,482768.526
Southern Rockies,Grassland ,Conifer-Hardwood ,1283.826
Southern Rockies,Grassland ,Developed ,137098.32
Southern Rockies,Grassland ,Exotics ,275267.79
Southern Rockies,Grassland ,Grassland ,3240034.722
Southern Rockies,Grassland ,Hardwood ,15289.14
Southern Rockies,Grassland ,Riparian ,99351.66
Southern Rockies,Grassland ,Shrubland ,1082719.53
Southern Rockies,Hardwood ,Agricultural ,37998.63
Southern Rockies,Hardwood ,Conifer ,520070.964
Southern Rockies,Hardwood ,Conifer-Hardwood ,52633.536
Southern Rockies,Hardwood ,Developed ,17219.652
Southern Rockies,Hardwood ,Exotics ,37712.028
Southern Rockies,Hardwood ,Grassland ,110674.104
Southern Rockies,Hardwood ,Hardwood ,976883.028
Southern Rockies,Hardwood ,Riparian ,45139.26
Southern Rockies,Hardwood ,Shrubland ,477104.196
Southern Rockies,Hardwood-Conifer ,Agricultural ,7124.424
Southern Rockies,Hardwood-Conifer ,Conifer ,1810562.514
Southern Rockies,Hardwood-Conifer ,Conifer-Hardwood ,164605.452
Southern Rockies,Hardwood-Conifer ,Developed ,16705.944
Southern Rockies,Hardwood-Conifer ,Exotics ,19701.834
Southern Rockies,Hardwood-Conifer ,Grassland ,156981.306
Southern Rockies,Hardwood-Conifer ,Hardwood ,1315118.676
Southern Rockies,Hardwood-Conifer ,Riparian ,25886.088
Southern Rockies,Hardwood-Conifer ,Shrubland ,288583.35
Southern Rockies,Riparian ,Agricultural ,769051.512
Southern Rockies,Riparian ,Conifer ,680436.882
Southern Rockies,Riparian ,Conifer-Hardwood ,15212.994
Southern Rockies,Riparian ,Developed ,127405.356
Southern Rockies,Riparian ,Exotics ,107621.826
Southern Rockies,Riparian ,Grassland ,373144.482
Southern Rockies,Riparian ,Hardwood ,123235.086
Southern Rockies,Riparian ,Riparian ,881819.742
Southern Rockies,Riparian ,Shrubland ,928193.1
Southern Rockies,Shrubland ,Agricultural ,1772186.04
Southern Rockies,Shrubland ,Conifer ,3153579.708
Southern Rockies,Shrubland ,Conifer-Hardwood ,8268.39
Southern Rockies,Shrubland ,Developed ,471560.19
Southern Rockies,Shrubland ,Exotics ,1067599.554
Southern Rockies,Shrubland ,Grassland ,1250798.172
Southern Rockies,Shrubland ,Hardwood ,380253.81
Southern Rockies,Shrubland ,Riparian ,426530.598
Southern Rockies,Shrubland ,Shrubland ,26697102.62
