Exchange,Past,Present,Acres
Southwest,Conifer ,Agricultural ,36363.822
Southwest,Conifer ,Conifer ,20267418.07
Southwest,Conifer ,Conifer-Hardwood ,1835057.772
Southwest,Conifer ,Developed ,277315.074
Southwest,Conifer ,Exotics ,255677.622
Southwest,Conifer ,Grassland ,2235864.12
Southwest,Conifer ,Hardwood ,120391.488
Southwest,Conifer ,Riparian ,43766.856
Southwest,Conifer ,Shrubland ,6193753.158
Southwest,Grassland ,Agricultural ,2606208.294
Southwest,Grassland ,Conifer ,1525579.116
Southwest,Grassland ,Conifer-Hardwood ,80650.824
Southwest,Grassland ,Developed ,1026551.532
Southwest,Grassland ,Exotics ,4885960.26
Southwest,Grassland ,Grassland ,17561953.58
Southwest,Grassland ,Hardwood ,5261.4
Southwest,Grassland ,Riparian ,283660.056
Southwest,Grassland ,Shrubland ,26989295.69
Southwest,Hardwood ,Agricultural ,409.812
Southwest,Hardwood ,Conifer ,71310.174
Southwest,Hardwood ,Conifer-Hardwood ,2826.948
Southwest,Hardwood ,Developed ,582.972
Southwest,Hardwood ,Exotics ,1803.084
Southwest,Hardwood ,Grassland ,11082.24
Southwest,Hardwood ,Hardwood ,24329.424
Southwest,Hardwood ,Riparian ,5479.182
Southwest,Hardwood ,Shrubland ,21798.624
Southwest,Hardwood-Conifer ,Agricultural ,436.674
Southwest,Hardwood-Conifer ,Conifer ,638748.834
Southwest,Hardwood-Conifer ,Conifer-Hardwood ,49443.84
Southwest,Hardwood-Conifer ,Developed ,2671.77
Southwest,Hardwood-Conifer ,Exotics ,4993.668
Southwest,Hardwood-Conifer ,Grassland ,58723.662
Southwest,Hardwood-Conifer ,Hardwood ,161171.334
Southwest,Hardwood-Conifer ,Riparian ,5382.168
Southwest,Hardwood-Conifer ,Shrubland ,67214.274
Southwest,Riparian ,Agricultural ,404614.092
Southwest,Riparian ,Conifer ,1618165.548
Southwest,Riparian ,Conifer-Hardwood ,140693.832
Southwest,Riparian ,Developed ,302142.444
Southwest,Riparian ,Exotics ,265065.558
Southwest,Riparian ,Grassland ,376381.464
Southwest,Riparian ,Hardwood ,10322.334
Southwest,Riparian ,Riparian ,761986.14
Southwest,Riparian ,Shrubland ,2205912.324
Southwest,Shrubland ,Agricultural ,1502973.744
Southwest,Shrubland ,Conifer ,8186143.218
Southwest,Shrubland ,Conifer-Hardwood ,315670.458
Southwest,Shrubland ,Developed ,2235220.542
Southwest,Shrubland ,Exotics ,3403349.91
Southwest,Shrubland ,Grassland ,5358997.638
Southwest,Shrubland ,Hardwood ,17345.748
Southwest,Shrubland ,Riparian ,312461.226
Southwest,Shrubland ,Shrubland ,58285357.19
