source,target,value
Conifer (past),Agricultural (present),700008
Conifer (past),Conifer (present),67407465
Conifer (past),Conifer-Hardwood (present),514151
Conifer (past),Developed (present),3012157
Conifer (past),Exotics (present),1921409
Conifer (past),Grassland (present),3013044
Conifer (past),Hardwood (present),3228035
Conifer (past),Riparian (present),806892
Conifer (past),Shrubland (present),11832416
Grassland (past),Agricultural (present),1573585
Grassland (past),Conifer (present),143686
Grassland (past),Conifer-Hardwood (present),3848
Grassland (past),Developed (present),2787902
Grassland (past),Exotics (present),1644201
Grassland (past),Grassland (present),126811
Grassland (past),Hardwood (present),93203
Grassland (past),Riparian (present),398250
Grassland (past),Shrubland (present),369604
Hardwood (past),Agricultural (present),7929147
Hardwood (past),Conifer (present),11641238
Hardwood (past),Conifer-Hardwood (present),1225581
Hardwood (past),Developed (present),8220915
Hardwood (past),Exotics (present),15416342
Hardwood (past),Grassland (present),1739739
Hardwood (past),Hardwood (present),7077083
Hardwood (past),Riparian (present),1405735
Hardwood (past),Shrubland (present),10708491
Hardwood-Conifer (past),Conifer (present),36695
Hardwood-Conifer (past),Developed (present),239
Hardwood-Conifer (past),Exotics (present),512
Hardwood-Conifer (past),Grassland (present),2228
Hardwood-Conifer (past),Hardwood (present),736
Hardwood-Conifer (past),Riparian (present),2961
Hardwood-Conifer (past),Shrubland (present),9490
Riparian (past),Agricultural (present),14235471
Riparian (past),Conifer (present),3828916
Riparian (past),Conifer-Hardwood (present),87394
Riparian (past),Developed (present),4254099
Riparian (past),Exotics (present),1037700
Riparian (past),Grassland (present),325128
Riparian (past),Hardwood (present),833558
Riparian (past),Riparian (present),4759444
Riparian (past),Shrubland (present),7417505
Shrubland (past),Agricultural (present),16478844
Shrubland (past),Conifer (present),5095593
Shrubland (past),Conifer-Hardwood (present),135822
Shrubland (past),Developed (present),19963041
Shrubland (past),Exotics (present),20766984
Shrubland (past),Grassland (present),2647187
Shrubland (past),Hardwood (present),1858028
Shrubland (past),Riparian (present),1868588
Shrubland (past),Shrubland (present),102577443
