Rowid_,VALUE,COUNT,US_200BPS,US_200EVT,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
,2,10586297,11,7292,na,Open Water,Open Water,0.000000000000000,NA,NA,0.000000000000000,Open Water,Open Water
,321,110786,31,7733,na,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,0.000000000000000,NA,NA,0.000000000000000,North Pacific Montane Massive Bedrock-Cliff and Talus,Sparsely Vegetated
,593,15429,12,7735,na,Perennial Ice/Snow,Perennial Ice/Snow,0.000000000000000,NA,NA,0.000000000000000,North American Glacier and Ice Field,Snow-Ice
,1371,547868,31,9006,na,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,0.000000000000000,NA,NA,0.000000000000000,Inter-Mountain Basins Cliff and Canyon,Sparsely Vegetated
,1854,551493,31,9004,na,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,0.000000000000000,NA,NA,0.000000000000000,Inter-Mountain Basins Active and Stabilized Dune,Sparsely Vegetated
,1871,7909,417,7125,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,Conifer,147.000000000000000,52,39,19.000000000000000,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland
,1872,43,417,9006,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,Conifer,147.000000000000000,52,39,19.000000000000000,Inter-Mountain Basins Cliff and Canyon,Sparsely Vegetated
,1875,7007,417,7106,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,Conifer,147.000000000000000,52,39,19.000000000000000,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland
,1876,1908,417,7139,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,Conifer,147.000000000000000,52,39,19.000000000000000,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland
,1882,21,417,9828,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,Conifer,147.000000000000000,52,39,19.000000000000000,Interior Western North American Temperate Ruderal Grassland,Exotic Herbaceous
,1884,1,417,9308,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,Conifer,147.000000000000000,52,39,19.000000000000000,Great Basin & Intermountain Introduced Annual Grassland,Exotic Herbaceous
,1885,984,440,7139,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17.000000000000000,NA,NA,17.000000000000000,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland
,1891,3015,440,7125,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17.000000000000000,NA,NA,17.000000000000000,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland
,1892,25,440,9828,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17.000000000000000,NA,NA,17.000000000000000,Interior Western North American Temperate Ruderal Grassland,Exotic Herbaceous
,1894,180108,435,7125,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59.000000000000000,NA,NA,59.000000000000000,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland
,1899,61515,435,7139,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59.000000000000000,NA,NA,59.000000000000000,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland
,1903,282,434,7139,11240_10_12_17_18_19_21,Columbia Plateau Low Sagebrush Steppe,Shrubland,200.000000000000000,NA,NA,200.000000000000000,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland
,1906,2261,417,7165,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,Conifer,147.000000000000000,52,39,19.000000000000000,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Conifer
,1907,26705,417,7045,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,Conifer,147.000000000000000,52,39,19.000000000000000,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
,1909,1208,434,7125,11240_10_12_17_18_19_21,Columbia Plateau Low Sagebrush Steppe,Shrubland,200.000000000000000,NA,NA,200.000000000000000,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland
,1912,7945,440,7106,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17.000000000000000,NA,NA,17.000000000000000,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland
,1913,25238,417,7053,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,Conifer,147.000000000000000,52,39,19.000000000000000,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer
