Year,Exchange,Acres
1984,California,227566
1984,Great Basin,389857
1984,Northwest,134072
1984,Southern Rockies,4026
1985,California,531726
1985,Great Basin,1473815
1985,Northwest,98913
1985,Southern Rockies,85506
1986,California,102702
1986,Great Basin,733268
1986,Northwest,178660
1986,Southern Rockies,26258
1987,California,768214
1987,Great Basin,334181
1987,Northwest,262155
1987,Southern Rockies,42184
1988,California,259067
1988,Great Basin,173664
1988,Northwest,177778
1988,Southern Rockies,117510
1989,California,144585
1989,Great Basin,90776
1989,Northwest,83028
1989,Southern Rockies,48719
1990,California,283749
1990,Great Basin,176104
1990,Northwest,167304
1990,Southern Rockies,26471
1991,California,24956
1991,Great Basin,75532
1991,Northwest,29732
1991,Southern Rockies,10013
1992,California,198199
1992,Great Basin,374618
1992,Northwest,124043
1992,Southern Rockies,10783
1993,California,355901
1993,Great Basin,30716
1993,Northwest,13508
1993,Southern Rockies,31966
1994,California,321978
1994,Great Basin,538078
1994,Northwest,406836
1994,Southern Rockies,54799
1995,California,167085
1995,Great Basin,535486
1995,Northwest,7063
1995,Southern Rockies,15253
1996,California,591706
1996,Great Basin,2063231
1996,Northwest,480639
1996,Southern Rockies,50689
1997,California,241742
1997,Great Basin,83961
1997,Northwest,18712
1997,Southern Rockies,12519
1998,California,143106
1998,Great Basin,282489
1998,Northwest,111962
1998,Southern Rockies,4044
1999,California,728159
1999,Great Basin,2403189
1999,Northwest,42471
1999,Southern Rockies,39563
2000,California,237506
2000,Great Basin,1396364
2000,Northwest,549534
2000,Southern Rockies,275278
2001,California,160484
2001,Great Basin,1220836
2001,Northwest,344877
2001,Southern Rockies,69225
2002,California,417255
2002,Great Basin,407125
2002,Northwest,977657
2002,Southern Rockies,399058
2003,California,908300
2003,Great Basin,137956
2003,Northwest,320986
2003,Southern Rockies,42208
2004,California,253891
2004,Great Basin,94603
2004,Northwest,115680
2004,Southern Rockies,33111
2005,California,591334
2005,Great Basin,1261789
2005,Northwest,193498
2005,Southern Rockies,28466
2006,California,780410
2006,Great Basin,2258132
2006,Northwest,567151
2006,Southern Rockies,32562
2007,California,930993
2007,Great Basin,2464132
2007,Northwest,556074
2007,Southern Rockies,105239
2008,California,1391977
2008,Great Basin,211773
2008,Northwest,282555
2008,Southern Rockies,48343
2009,California,409017
2009,Great Basin,168132
2009,Northwest,155429
2009,Southern Rockies,37874
2010,California,81680
2010,Great Basin,706792
2010,Northwest,192731
2010,Southern Rockies,24942
2011,California,155272
2011,Great Basin,811630
2011,Northwest,259302
2011,Southern Rockies,22821
2012,California,407089
2012,Great Basin,3115082
2012,Northwest,580150
2012,Southern Rockies,164871
2013,California,571779
2013,Great Basin,462275
2013,Northwest,329919
2013,Southern Rockies,105616
2014,California,500819
2014,Great Basin,608461
2014,Northwest,844519
2014,Southern Rockies,26509
2015,California,758684
2015,Great Basin,466504
2015,Northwest,1647107
2015,Southern Rockies,8813
2016,California,525998
2016,Great Basin,575820
2016,Northwest,404788
2016,Southern Rockies,120310
2017,California,1158528
2017,Great Basin,1870701
2017,Northwest,1072867
2017,Southern Rockies,125685
2018,California,1455344
2018,Great Basin,1764475
2018,Northwest,1212397
2018,Southern Rockies,369217
2019,California,219135
2019,Great Basin,484155
2019,Northwest,209105
2019,Southern Rockies,51364
